filename,character,id,description
PO.S1.E1.C01 Bridge During War.mp4,Piltover,PO.S1.E1.C01,Bridge During War
PO.S1.E1.C02 Bridge War Enforcer.mp4,Piltover,PO.S1.E1.C02,Bridge War Enforcer
PD.S1.E1.C03 Vi and Powder Intro.mp4,Powder,PD.S1.E1.C03,Vi and Powder Intro
VD.S1.E1.C04 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C04,Vander Meets Vi Pow on Bridge
VI.S1.E1.C05 Vi and Powder Intro.mp4,Vi,VI.S1.E1.C05,Vi and Powder Intro
VI.S1.E1.C06 Vi Sees Dead Parents.mp4,Vi,VI.S1.E1.C06,Vi Sees Dead Parents
VI.S1.E1.C07 Vi looks angrily at Enforcers and Piltover.mp4,Vi,VI.S1.E1.C07,Vi looks angrily at Enforcers and Piltover
MY.S1.E1.C08 Mylo Picks Lock And Fails_1.mp4,Mylo,MY.S1.E1.C08,Mylo Picks Lock And Fails_1
PD.S1.E1.C09 Powder Beautiful Shot + Powder Jumps Over Chasm.mp4,Powder,PD.S1.E1.C09,Powder Beautiful Shot + Powder Jumps Over Chasm
VD.S1.E1.C10 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C10,Vander Meets Vi Pow on Bridge
VD.S1.E1.C11 Vander Meets Vi Pow on Bridge.mp4,Vander,VD.S1.E1.C11,Vander Meets Vi Pow on Bridge
VI.S1.E1.C12 Vi Gang Climb on Roof and Gaze at Piltover.mp4,Vi,VI.S1.E1.C12,Vi Gang Climb on Roof and Gaze at Piltover
VI.S1.E1.C13 Vi Gang Jump Over Chasm.mp4,Vi,VI.S1.E1.C13,Vi Gang Jump Over Chasm
VI.S1.E1.C14 Vi Gang Break Into Jayce's Lab.mp4,Vi,VI.S1.E1.C14,Vi Gang Break Into Jayce's Lab
PO.S1.E1.C15 Piltover Building Blows Up.mp4,Piltover,PO.S1.E1.C15,Piltover Building Blows Up
PD.S1.E1.C16 Powder Looks at Tech in Jayce's Lab.mp4,Powder,PD.S1.E1.C16,Powder Looks at Tech in Jayce's Lab
PD.S1.E1.C17 Powder Beautiful Shot Looking at Hex Crystal.mp4,Powder,PD.S1.E1.C17,Powder Beautiful Shot Looking at Hex Crystal
PD.S1.E1.C18 Powder Finds Hextech.mp4,Powder,PD.S1.E1.C18,Powder Finds Hextech
PD.S1.E1.C19 Powder Blows Up Jayce's Lab.mp4,Powder,PD.S1.E1.C19,Powder Blows Up Jayce's Lab
VI.S1.E1.C20 Vi Gang In Jayce's Lab Looking At Tech.mp4,Vi,VI.S1.E1.C20,Vi Gang In Jayce's Lab Looking At Tech
VI.S1.E1.C21 Vi Gang Hears Jayce About To Enter.mp4,Vi,VI.S1.E1.C21,Vi Gang Hears Jayce About To Enter
EF.S1.E1.C22 Enforcers Throw Net.mp4,Enforcers,EF.S1.E1.C22,Enforcers Throw Net
EF.S1.E1.C23 Enforcers Fall When Running Across Bridge.mp4,Enforcers,EF.S1.E1.C23,Enforcers Fall When Running Across Bridge
PO.S1.E1.C24 Enforcers Throw Net.mp4,Piltover,PO.S1.E1.C24,Enforcers Throw Net
PO.S1.E1.C25 Enforcers Fall When Running Across Bridge.mp4,Piltover,PO.S1.E1.C25,Enforcers Fall When Running Across Bridge
VI.S1.E1.C26 Vi Gang Escape From Piltover While Chased By Enforcers.mp4,Vi,VI.S1.E1.C26,Vi Gang Escape From Piltover While Chased By Enforcers
VI.S1.E1.C27 VI Gang Cross Bridge.mp4,Vi,VI.S1.E1.C27,VI Gang Cross Bridge
VI.S1.E1.C28 Vi Gang Throw Off Enforcers During Chase.mp4,Vi,VI.S1.E1.C28,Vi Gang Throw Off Enforcers During Chase
VI.S1.E1.C29 Vi Gang Jump Down Sewer.mp4,Vi,VI.S1.E1.C29,Vi Gang Jump Down Sewer
DK.S1.E1.C30 Deckard Stops Vi's Gang.mp4,Deckard,DK.S1.E1.C30,Deckard Stops Vi's Gang
DK.S1.E1.C31 Dekard Tries to Threaten Vi With Knife and Runs Away.mp4,Deckard,DK.S1.E1.C31,Dekard Tries to Threaten Vi With Knife and Runs Away
MY.S1.E1.C32 Mylo Roasts Powder for Losing Everything_1.mp4,Mylo,MY.S1.E1.C32,Mylo Roasts Powder for Losing Everything_1
MY.S1.E1.C33 Mylo Roasts Powder Again for Losing Everything_1.mp4,Mylo,MY.S1.E1.C33,Mylo Roasts Powder Again for Losing Everything_1
PD.S1.E1.C34 Powder's Bomb Fails.mp4,Powder,PD.S1.E1.C34,Powder's Bomb Fails
PD.S1.E1.C35 Powder Throws Bag Into Water.mp4,Powder,PD.S1.E1.C35,Powder Throws Bag Into Water
PD.S1.E1.C36 Powder Gets Roasted by Myle for Losing Everything.mp4,Powder,PD.S1.E1.C36,Powder Gets Roasted by Myle for Losing Everything
VI.S1.E1.C37 Vi Gang Stopped By Deckard.mp4,Vi,VI.S1.E1.C37,Vi Gang Stopped By Deckard
VI.S1.E1.C38 Vi Gang Fight Deckard Gang.mp4,Vi,VI.S1.E1.C38,Vi Gang Fight Deckard Gang
VI.S1.E1.C39 Vi Shows Deckard Who Has Balls.mp4,Vi,VI.S1.E1.C39,Vi Shows Deckard Who Has Balls
VI.S1.E1.C40 Vi Gang Sad; Beaten Up; with Nothing left.mp4,Vi,VI.S1.E1.C40,Vi Gang Sad; Beaten Up; with Nothing left
VI.S1.E1.C41 Vi Gang Take Elevator Into Zaun.mp4,Vi,VI.S1.E1.C41,Vi Gang Take Elevator Into Zaun
VD.S1.E1.C42 Vander Smokes A Pipe Very Cool.mp4,Vander,VD.S1.E1.C42,Vander Smokes A Pipe Very Cool
VD.S1.E1.C43 Vander Intimidates Scammers.mp4,Vander,VD.S1.E1.C43,Vander Intimidates Scammers
ZN.S1.E1.C44 Inside the Last Drop.mp4,Zaun,ZN.S1.E1.C44,Inside the Last Drop
ZN.S1.E1.C45 A business deal within Zaun.mp4,Zaun,ZN.S1.E1.C45,A business deal within Zaun
MY.S1.E1.C46 Mylo Roasted by Vi for big mouth_1.mp4,Mylo,MY.S1.E1.C46,Mylo Roasted by Vi for big mouth_1
PD.S1.E1.C47 Powder Finds Hex Crystals and Goes to show vi.mp4,Powder,PD.S1.E1.C47,Powder Finds Hex Crystals and Goes to show vi
PD.S1.E1.C48 Powder Overhears Mylo and Vi Talking About Her.mp4,Powder,PD.S1.E1.C48,Powder Overhears Mylo and Vi Talking About Her
PD.S1.E1.C49 Powder gets sad and runs away when eavesdropping.mp4,Powder,PD.S1.E1.C49,Powder gets sad and runs away when eavesdropping
VD.S1.E1.C50 Vander Roasts Kids For Going Into Piltover.mp4,Vander,VD.S1.E1.C50,Vander Roasts Kids For Going Into Piltover
VD.S1.E1.C51 Vander Roasts Vi and Kicks everyone out.mp4,Vander,VD.S1.E1.C51,Vander Roasts Vi and Kicks everyone out
VD.S1.E1.C52 Vander has a Heart to Heart With Vias he Patches her up.mp4,Vander,VD.S1.E1.C52,Vander has a Heart to Heart With Vias he Patches her up
VD.S1.E1.C53 Vander Roasts Mylo and Takes Claggor.mp4,Vander,VD.S1.E1.C53,Vander Roasts Mylo and Takes Claggor
VI.S1.E1.C54 Vi Gang Go Back To Their Base.mp4,Vi,VI.S1.E1.C54,Vi Gang Go Back To Their Base
VI.S1.E1.C55 Vi Gang Roasted by Vander For Going Into Piltover.mp4,Vi,VI.S1.E1.C55,Vi Gang Roasted by Vander For Going Into Piltover
VI.S1.E1.C56 Vi roasted by Vander and he Kicks everyone out.mp4,Vi,VI.S1.E1.C56,Vi roasted by Vander and he Kicks everyone out
VI.S1.E1.C57 Vi has a Heart to Heart With Vander as he Patches her up.mp4,Vi,VI.S1.E1.C57,Vi has a Heart to Heart With Vander as he Patches her up
VI.S1.E1.C58 Vi Roasts Mylo for big mouth.mp4,Vi,VI.S1.E1.C58,Vi Roasts Mylo for big mouth
EK.S1.E1.C59 Ekko gets introduced.mp4,Ekko,EK.S1.E1.C59,Ekko gets introduced
EK.S1.E1.C60 Ekko talks to Claggor.mp4,Ekko,EK.S1.E1.C60,Ekko talks to Claggor
EK.S1.E1.C61 Ekko spies on Vander and Enforcers.mp4,Ekko,EK.S1.E1.C61,Ekko spies on Vander and Enforcers
EF.S1.E1.C62 Enforcers Enter Benzo's Shop.mp4,Enforcers,EF.S1.E1.C62,Enforcers Enter Benzo's Shop
EF.S1.E1.C63 Enforcer underground deal with Vander.mp4,Enforcers,EF.S1.E1.C63,Enforcer underground deal with Vander
MC.S1.E1.C64 Marcus gets kicked out of Benzo's Shop.mp4,Marcus,MC.S1.E1.C64,Marcus gets kicked out of Benzo's Shop
VD.S1.E1.C65 Vander Goes to Benzo's Shop with Claggor.mp4,Vander,VD.S1.E1.C65,Vander Goes to Benzo's Shop with Claggor
VD.S1.E1.C66 Vander Talks to Benzo.mp4,Vander,VD.S1.E1.C66,Vander Talks to Benzo
VD.S1.E1.C67 Vander clutches his scar from Silco.mp4,Vander,VD.S1.E1.C67,Vander clutches his scar from Silco
VD.S1.E1.C68 Vander underground deal with Enforcers.mp4,Vander,VD.S1.E1.C68,Vander underground deal with Enforcers
PD.S1.E1.C69 Powder draws on grenade.mp4,Powder,PD.S1.E1.C69,Powder draws on grenade
PD.S1.E1.C70 Powder tells Vi about hex crystals.mp4,Powder,PD.S1.E1.C70,Powder tells Vi about hex crystals
VI.S1.E1.C71 Vi tries to cheer up Powder.mp4,Vi,VI.S1.E1.C71,Vi tries to cheer up Powder
VI.S1.E1.C72 Vi tells Powder about Zaun.mp4,Vi,VI.S1.E1.C72,Vi tells Powder about Zaun
VI.S1.E1.C73 Vi hugs Powder; Cute Shot.mp4,Vi,VI.S1.E1.C73,Vi hugs Powder; Cute Shot
VI.S1.E1.C74 Vi and Powder look up at Piltover; Beautiful Shot.mp4,Vi,VI.S1.E1.C74,Vi and Powder look up at Piltover; Beautiful Shot
ZN.S1.E1.C75 Zaun at night.mp4,Zaun,ZN.S1.E1.C75,Zaun at night
DK.S1.E1.C76 Deckard gets threatened by Silco.mp4,Deckard,DK.S1.E1.C76,Deckard gets threatened by Silco
SC.S1.E1.C77 Silco introduction.mp4,Silco,SC.S1.E1.C77,Silco introduction
XX.S1.E1.C78 Singed and Silco shimmer experiment.mp4,Singed,XX.S1.E1.C78,Singed and Silco shimmer experiment
JC.S1.E2.C01 Jayce introduction; gets knocked out by explosion.mp4,Jayce,JC.S1.E2.C01,Jayce introduction; gets knocked out by explosion
JC.S1.E2.C02 Jayce flashback; mom collapses from cold.mp4,Jayce,JC.S1.E2.C02,Jayce flashback; mom collapses from cold
JC.S1.E2.C03 Jayce gets saved and teleported by mage.mp4,Jayce,JC.S1.E2.C03,Jayce gets saved and teleported by mage
JC.S1.E2.C04 Jayce gets inspired by mage and receives crystal.mp4,Jayce,JC.S1.E2.C04,Jayce gets inspired by mage and receives crystal
JC.S1.E2.C05 Jayce gets quesitoned and arrested in blown up laboratory.mp4,Jayce,JC.S1.E2.C05,Jayce gets quesitoned and arrested in blown up laboratory
VT.S1.E2.C06 Viktor introduction in Jayce's lab; talks about assistant dean.mp4,Viktor,VT.S1.E2.C06,Viktor introduction in Jayce's lab; talks about assistant dean
HM.S1.E2.C07 Heimerdinger introduction; meets Jayce in prison.mp4,Heimerdinger,HM.S1.E2.C07,Heimerdinger introduction; meets Jayce in prison
JC.S1.E2.C08 Jayce talks to Heimerdinger about magic is bad.mp4,Jayce,JC.S1.E2.C08,Jayce talks to Heimerdinger about magic is bad
EF.S1.E2.C09 Enforcer police brutality.mp4,Enforcers,EF.S1.E2.C09,Enforcer police brutality
EF.S1.E2.C10 Enforcers fail to catch kids.mp4,Enforcers,EF.S1.E2.C10,Enforcers fail to catch kids
ML.S1.E2.C11 Mel introduction.mp4,Mel,ML.S1.E2.C11,Mel introduction
PO.S1.E2.C12 Kiramanns introduced.mp4,Piltover,PO.S1.E2.C12,Kiramanns introduced
PD.S1.E2.C13 Powder showcases aimlabs; shooting skills.mp4,Powder,PD.S1.E2.C13,Powder showcases aimlabs; shooting skills
VI.S1.E2.C14 Vi uses boxing machine.mp4,Vi,VI.S1.E2.C14,Vi uses boxing machine
VI.S1.E2.C15 Vi gang run from enforcers.mp4,Vi,VI.S1.E2.C15,Vi gang run from enforcers
ZN.S1.E2.C16 Zaunite gets throws through window by Enforcers.mp4,Zaun,ZN.S1.E2.C16,Zaunite gets throws through window by Enforcers
SV.S1.E2.C17 Sevika pressures Vander.mp4,Sevika,SV.S1.E2.C17,Sevika pressures Vander
VD.S1.E2.C18 Vander cool shot smoking and lectured Zaun about peace.mp4,Vander,VD.S1.E2.C18,Vander cool shot smoking and lectured Zaun about peace
VI.S1.E2.C19 Vi gang want to fight and find out about Vander's deal.mp4,Vi,VI.S1.E2.C19,Vi gang want to fight and find out about Vander's deal
ZN.S1.E2.C20 Zaun wants to fight.mp4,Zaun,ZN.S1.E2.C20,Zaun wants to fight
HM.S1.E2.C21 Heimerdinger ptsd moment; magic bad.mp4,Heimerdinger,HM.S1.E2.C21,Heimerdinger ptsd moment; magic bad
JC.S1.E2.C22 Jayce gets mad at his mom.mp4,Jayce,JC.S1.E2.C22,Jayce gets mad at his mom
JC.S1.E2.C23 Jayce trial begins.mp4,Jayce,JC.S1.E2.C23,Jayce trial begins
JC.S1.E2.C24 Jayce defends magic at his trial.mp4,Jayce,JC.S1.E2.C24,Jayce defends magic at his trial
JC.S1.E2.C25 Jayce gets expelled from the academy.mp4,Jayce,JC.S1.E2.C25,Jayce gets expelled from the academy
PO.S1.E2.C26 Piltover's Council introduced.mp4,Piltover,PO.S1.E2.C26,Piltover's Council introduced
HM.S1.E2.C27 Heimerdinger disappointed with Viktor.mp4,Heimerdinger,HM.S1.E2.C27,Heimerdinger disappointed with Viktor
VT.S1.E2.C28 Viktor talks to Heimerdinger; steals Jayce notes.mp4,Viktor,VT.S1.E2.C28,Viktor talks to Heimerdinger; steals Jayce notes
DK.S1.E2.C29 Deckard gets peer pressured into taking shimmer.mp4,Deckard,DK.S1.E2.C29,Deckard gets peer pressured into taking shimmer
DK.S1.E2.C30 Deckard takes shimmer and turns into monster.mp4,Deckard,DK.S1.E2.C30,Deckard takes shimmer and turns into monster
SC.S1.E2.C31 Silco lectures Deckard about strength power and monsters.mp4,Silco,SC.S1.E2.C31,Silco lectures Deckard about strength power and monsters
CL.S1.E2.C32 Caitlyn umbrella in the rain.mp4,Caitlyn,CL.S1.E2.C32,Caitlyn umbrella in the rain
JC.S1.E2.C33 Jayce sad in the rain.mp4,Jayce,JC.S1.E2.C33,Jayce sad in the rain
EF.S1.E2.C34 Enforcers told to destroy Zaun.mp4,Enforcers,EF.S1.E2.C34,Enforcers told to destroy Zaun
PO.S1.E2.C35 Council crack down on Zaun.mp4,Piltover,PO.S1.E2.C35,Council crack down on Zaun
MC.S1.E2.C36 Marcus confronts Vander.mp4,Marcus,MC.S1.E2.C36,Marcus confronts Vander
VD.S1.E2.C37 Vander deals with Enforcers.mp4,Vander,VD.S1.E2.C37,Vander deals with Enforcers
VI.S1.E2.C38 Vi gang hide from Enforcer.mp4,Vi,VI.S1.E2.C38,Vi gang hide from Enforcer
VI.S1.E2.C39 Vi wants Vander to fight.mp4,Vi,VI.S1.E2.C39,Vi wants Vander to fight
VI.S1.E2.C40 Vi gets talked down by Vander.mp4,Vi,VI.S1.E2.C40,Vi gets talked down by Vander
VI.S1.E2.C41 Vi learns peace from Vander.mp4,Vi,VI.S1.E2.C41,Vi learns peace from Vander
ZN.S1.E2.C42 Zaun bridge at night.mp4,Zaun,ZN.S1.E2.C42,Zaun bridge at night
JC.S1.E2.C43 Jayce depressed and meets Viktor.mp4,Jayce,JC.S1.E2.C43,Jayce depressed and meets Viktor
VT.S1.E2.C44 Viktor inspires Jayce.mp4,Viktor,VT.S1.E2.C44,Viktor inspires Jayce
MC.S1.E2.C45 Marcus told off by Greyson.mp4,Marcus,MC.S1.E2.C45,Marcus told off by Greyson
PD.S1.E2.C46 Powder gets encouragement from Vi.mp4,Powder,PD.S1.E2.C46,Powder gets encouragement from Vi
VI.S1.E2.C47 Vi says what makes you different makes you strong.mp4,Vi,VI.S1.E2.C47,Vi says what makes you different makes you strong
PD.S1.E2.C48 Powder sad with Vander.mp4,Powder,PD.S1.E2.C48,Powder sad with Vander
VD.S1.E2.C49 Vander pours Powder a drink.mp4,Vander,VD.S1.E2.C49,Vander pours Powder a drink
VI.S1.E2.C50 Vi turns herself in to Enforcers.mp4,Vi,VI.S1.E2.C50,Vi turns herself in to Enforcers
SC.S1.E3.C01 Silco drowned by Vander.mp4,Silco,SC.S1.E3.C01,Silco drowned by Vander
SC.S1.E3.C02 Silco drowns peacefully.mp4,Silco,SC.S1.E3.C02,Silco drowns peacefully
SC.S1.E3.C03 Silco attacks Vander and Enforcers.mp4,Silco,SC.S1.E3.C03,Silco attacks Vander and Enforcers
SC.S1.E3.C04 Silco captures Vander.mp4,Silco,SC.S1.E3.C04,Silco captures Vander
VD.S1.E3.C05 Vander protects Vi from enforcers.mp4,Vander,VD.S1.E3.C05,Vander protects Vi from enforcers
VD.S1.E3.C06 Vander gives himself up.mp4,Vander,VD.S1.E3.C06,Vander gives himself up
VI.S1.E3.C07 Vi cries and bangs door.mp4,Vi,VI.S1.E3.C07,Vi cries and bangs door
VI.S1.E3.C08 Vi cries and hugs Ekko.mp4,Vi,VI.S1.E3.C08,Vi cries and hugs Ekko
JC.S1.E3.C09 Jayce and Victor do science.mp4,Jayce,JC.S1.E3.C09,Jayce and Victor do science
VT.S1.E3.C10 Viktor and Jayce do science.mp4,Viktor,VT.S1.E3.C10,Viktor and Jayce do science
ZN.S1.E3.C11 Silco's lair.mp4,Zaun,ZN.S1.E3.C11,Silco's lair
JC.S1.E3.C12 Jayce tries to sneak.mp4,Jayce,JC.S1.E3.C12,Jayce tries to sneak
ML.S1.E3.C13 Mel catches Jayce and Viktor.mp4,Mel,ML.S1.E3.C13,Mel catches Jayce and Viktor
SV.S1.E3.C14 Sevika smokes a cigar.mp4,Sevika,SV.S1.E3.C14,Sevika smokes a cigar
SC.S1.E3.C15 Silco talks to Vander.mp4,Silco,SC.S1.E3.C15,Silco talks to Vander
SC.S1.E3.C16 Silco talks to Vander about shimmer.mp4,Silco,SC.S1.E3.C16,Silco talks to Vander about shimmer
VD.S1.E3.C17 Vandertalks to Silco.mp4,Vander,VD.S1.E3.C17,Vandertalks to Silco
VD.S1.E3.C18 Vander learns about shimmer.mp4,Vander,VD.S1.E3.C18,Vander learns about shimmer
JC.S1.E3.C19 Jayce and Victor stabilize hex crystal.mp4,Jayce,JC.S1.E3.C19,Jayce and Victor stabilize hex crystal
JC.S1.E3.C20 Jayce and Victor hex experiement goes wrong.mp4,Jayce,JC.S1.E3.C20,Jayce and Victor hex experiement goes wrong
VI.S1.E3.C21 Vi teels gang about Vander.mp4,Vi,VI.S1.E3.C21,Vi teels gang about Vander
VI.S1.E3.C22 Vi tells Powder not to come.mp4,Vi,VI.S1.E3.C22,Vi tells Powder not to come
VT.S1.E3.C23 Viktor and Jayce stabilize hex crystal.mp4,Viktor,VT.S1.E3.C23,Viktor and Jayce stabilize hex crystal
VT.S1.E3.C24 Viktor and Jayce hex experiement goes wrong.mp4,Viktor,VT.S1.E3.C24,Viktor and Jayce hex experiement goes wrong
PD.S1.E3.C25 Powder mental breakdown.mp4,Powder,PD.S1.E3.C25,Powder mental breakdown
PD.S1.E3.C26 Powder understands hex crystal.mp4,Powder,PD.S1.E3.C26,Powder understands hex crystal
VI.S1.E3.C27 Vi gang get to Vander.mp4,Vi,VI.S1.E3.C27,Vi gang get to Vander
VI.S1.E3.C28 Vi fights Silco men.mp4,Vi,VI.S1.E3.C28,Vi fights Silco men
VI.S1.E3.C29 Vi runs from Deckard.mp4,Vi,VI.S1.E3.C29,Vi runs from Deckard
DK.S1.E3.C30 Deckard takes shimmer again; fights Vi; and blows up.mp4,Deckard,DK.S1.E3.C30,Deckard takes shimmer again; fights Vi; and blows up
HM.S1.E3.C31 Heimerdinger tries to stop hextech.mp4,Heimerdinger,HM.S1.E3.C31,Heimerdinger tries to stop hextech
JC.S1.E3.C32 Jayce completes Hextech.mp4,Jayce,JC.S1.E3.C32,Jayce completes Hextech
