Sentence,start_time,end_time,matched_script_id
ﾃｯﾂｻﾂｿOkok Arcane is not going to have a good ending.,NA,NA,7.2.1
This isnﾃ｢竄ｬ邃｢t Teletubbies.,NA,NA,1.7.1
The world presented in Arcane is realistic with high stakes and open endings.,NA,NA,7.2.1
Iﾃ｢竄ｬ邃｢m pretty sure episode 3 showed us that this wasnt our ordinary animated show.,NA,NA,7.5.1
"Sure, forgiveness is a main theme of the show and that directly means that some portion of the ending will be happy.",NA,NA,7.13.2
"But heres the thing, season 2 is also about war and the point of no return.",NA,NA,10.13
We learned from Vander that there are no winners in war.,NA,NA,2.12.4
A sentiment Iﾃ｢竄ｬ邃｢ve been seeing a lot is that Zaun and Piltover unite against Noxus and Zaun wins independence for itself and Piltover earns its forgiveness.,NA,NA,2.11.1
"True, the trailers are directly misleading that fact to us but if I were to ask you the overall conflict in Arcane what would you say?",NA,NA,7.2.1
Every story needs a conflict and here from the opening shots is between Piltover and Zaun.,NA,NA,2.5.1
But I do admit that doesnﾃ｢竄ｬ邃｢t necessary mean that they fight until the end.,NA,NA,3.11.1
But if the two were to team up and defeat an outside enemy and both cities kinda get what they want thats way too happy of an ending in my eyes.,NA,NA,3.10.2
This case would mean that there are winners of war and would detract from the entire tone Arcane has set up this entire time.,NA,NA,1.2
"People will die, disasters will happen, and we will cry.",NA,NA,5.11.2
The writers worked very hard to engrain that to us.,NA,NA,2.4.1
"If the biggest plotpoint in the show turns buddy buddy and everyone unites against an outside evil I think its puzzling that season 2, a season directly about war, has lower stakes than in season 1.",NA,NA,8.3.1
"Sure, people might struggle in the middle but if barely anyone dies and no losses are suffered whats the point of war?",NA,NA,1.1
A main reason why I said piltover will get destroyed is because it would add genuine tension and tangible effects from war.,NA,NA,1.3
This season is going to be darker and more intense than whats been presented to us in season 1.,NA,NA,10.13
I think we all want it to.,NA,NA,8.3.1
Season one ended with many bombshells.,NA,NA,7.5.1
"Powder killing her whole family, Vi destroying the entire tower, Jinx decimating an enforcer squad on the bridge, Jayce and Vi tearing through a shimmer factory, and Jinx shooting a nuke at the council.",NA,NA,4.8.1
"The point of a climax is to be the most exciting impactful part of a narrative, and season  2, the pinnacle of everything that has been built up, will no doubt make all of these tragedies seem like a minor inconvenience.",NA,NA,10.13
"There is a base violence necessary for change, as every meaningful change in the series has been a direct result of someone shaking up the status quo.",NA,NA,4.11.1
The first war in piltover changed vander to preserve peace.,NA,NA,2.12.4
Powder blowing up a building resulted in Silcoﾃ｢竄ｬ邃｢s takeover to a industrial Zaun.,NA,NA,3.13.1
Viﾃ｢竄ｬ邃｢s violence morphed her sister into Jinx.,NA,NA,4.8.1
Jayceﾃ｢竄ｬ邃｢s shimmer raid brought grounds for peace.,NA,NA,6.14.1
And Jinxﾃ｢竄ｬ邃｢s rocket attack threw both cities into war.,NA,NA,9.12.12
"All of these changes could be rationed as temporary but in the grand scheme of things, nothing is permanent.",NA,NA,4.11.1
"The biggest long-term change we found within the show was at the very beginning, With Vanderﾃ｢竄ｬ邃｢s change in mindset to preserve peace for a decade.",NA,NA,2.12.4
And you know what preceeded this ideological shift?,NA,NA,4.12.1
"The most amount of violence shown to us in the show, a civil war that resulted in Vi and Powderﾃ｢竄ｬ邃｢s parents getting killed.",NA,NA,3.11.1
"Now if peace were to be achieved, if zaun won independece, if the two cities buried their strained two hundred year relationship to build a better future together, a certain level of violence should be met to wake up characters to switch to a better path moving forward.",NA,NA,2.5.1
"Uniting against noxus is quite literally removing any tension from the story and any mutually shared violence to kick out noxus for the biggest change weﾃ｢竄ｬ邃｢ve seen in this series, the resolution between piltover and zaun.",NA,NA,2.11.1
You see why that sounds impactful?,NA,NA,3.10.1
"Or maybe Iﾃ｢竄ｬ邃｢m wrong and continued infighting would not tell a more complete story, that could be true as well.",NA,NA,10.11
But Arcaneﾃ｢竄ｬ邃｢s ending is going to be sad.,NA,NA,9.3.1
"Ella purnell, the voice actor behind Jinx said that after recording the last episode she cried.",NA,NA,9.12.5
Arcane tends to make us cry.,NA,NA,2.15.1
If everyone unites in the last episode for a power trip and good feelings shared around that wouldnﾃ｢竄ｬ邃｢t make people cry.,NA,NA,7.13.2
Or maybe she cried out of happiness because it felt so good watching Vi and Jinx reunite.,NA,NA,6.15.5
If any writer can do it its amanda overton.,NA,NA,5.1.3
"Overall I just want to reiterate that a lot of theories Iﾃ｢竄ｬ邃｢ve seen about the resolution of Arccane fails to take into account the genuine, grim realities of war alongside the necessary buildup that leads to earned payoff.",NA,NA,1.1
